VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.26001001001001                     0.3      0.0299045985567619     0.00916334485798977    3.90350181172735E-08    1.57021608081676E-17    4.81739154696285E-08                       0                       0                       0                       0                       0                       0        3429.97204734863       -3429.85908547271        323.108140515557        326.241169317271      0.0390680277426852        3638.30182904861        12090460.2393126          5.525800518758 
       1.26101101101101                     0.3      0.0299049531532623     0.00916344719442902    4.29008647003799E-08    1.80688953707797E-17    5.28873943117597E-08                       0                       0                       0                       0                       0                       0        3429.96976822486       -3429.84687691802        323.129495203578        326.473165728543       0.039068492982154        3638.58640015137        12090435.6623259        5.51100058924344 
       1.26201201201201                     0.3      0.0299053077497627     0.00916354953086829    4.67667112834854E-08    2.04356299333913E-17    5.76008731538898E-08                       0                       0                       0                       0                       0                       0         3429.9674891011       -3429.83466836334        323.150849891599        326.705162139815      0.0390689582216228        3638.87097125412        12090411.0853391        5.49620065972888 
       1.26301301301301                     0.3      0.0299057543471092      0.0091636778749653     5.2005014804039E-08    3.66785161146984E-17    6.39995922197033E-08                       0                       0                       0                       0                       0                       0        3429.96451977964       -3429.81874321481         323.17931864668        326.981619100954      0.0390695446162531        3639.24743615554        12090379.9962173        5.48039398960306 
       1.26401401401401                     0.3      0.0299063469337762     0.00916384748868581    5.94211684641422E-08    7.49404383142918E-17    7.30724940275616E-08                       0                       0                       0                       0                       0                       0        3429.96045523463       -3429.79692047911        323.219076187233        327.328627211705      0.0390703232630249        3639.76972051168        12090338.5734714        5.46298979745602 
       1.26501501501502                     0.3      0.0299069395204432     0.00916401710240632     6.6837322124247E-08    1.13202360513894E-16    8.21453958354219E-08                       0                       0                       0                       0                       0                       0        3429.95639068962       -3429.77509774341        323.258833727786        327.675635322456      0.0390711019097967        3640.29200486782        12090297.1507255        5.44558560530898 
       1.26601601601602                     0.3      0.0299072063446356     0.00916409379707359    6.99883268609879E-08    1.28139794485903E-16    8.60008306183356E-08                       0                       0                       0                       0                       0                       0        3429.95458584668       -3429.76556471896        323.275817247497        327.839797840877       0.039071452478479        3640.51672835165        12090278.5652484        5.43084579855922 
       1.26701701701702                     0.3      0.0299072645991684     0.00916411100024995    7.04085669200938E-08    1.28143708029841E-16    8.65157783714992E-08                       0                       0                       0                       0                       0                       0        3429.95422777962         -3429.763900191        323.278219683922        327.886893336794      0.0390715289698554        3640.55093827214        12090274.6013493        5.41781186648376 
       1.26801801801802                     0.3      0.0299073228537012      0.0091641282034263    7.08288069791999E-08     1.2814762157378E-16    8.70307261246629E-08                       0                       0                       0                       0                       0                       0        3429.95386971256       -3429.76223566304        323.280622120347        327.933988832711      0.0390716054612318        3640.58514819263        12090270.6374502         5.4047779344083 
       1.26901901901902                     0.3       0.029907381108234     0.00916414540660266    7.12490470383059E-08    1.28151535117718E-16    8.75456738778266E-08                       0                       0                       0                       0                       0                       0         3429.9535116455       -3429.76057113509        323.283024556772        327.981084328628      0.0390716819526082        3640.61935811312         12090266.673551        5.39174400233285 
       1.27002002002002                     0.3      0.0299074393627668     0.00916416260977901     7.1669287097412E-08    1.28155448661656E-16    8.80606216309903E-08                       0                       0                       0                       0                       0                       0        3429.95315357844       -3429.75890660713        323.285426993196        328.028179824545      0.0390717584439846        3640.65356803361        12090262.7096519        5.37871007025739 
