VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "U"
 "V"
 "T"
 "Tv"
 "tke"
 "omega"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.50750750750751                     0.3       0.030533177566508     0.00932849612038093    1.67265119532596E-05    1.05598997868551E-09    2.10246150733495E-05        3424.59773598305       -3398.79563612703         392.46730010891        496.259129703356      0.0406157068490573        8631.54094797239      0.0398994243618002         4565.4858854337        12050980.4622512        0.93575619230599 
       1.50825825825826                     0.3      0.0305366814769811     0.00932945662798429    1.67956936588116E-05    1.05600601616767E-09    2.11108804491964E-05        3424.56738254157       -3398.62864865021        392.826563246252        497.216363621706      0.0406109709548905        8630.53445049836      0.0399040443006517        4570.03580243955        12050730.4393135       0.922634739329248 
       1.50900900900901                     0.3      0.0305401853874541     0.00933041713558766    1.68648753643635E-05    1.05602205364983E-09    2.11971458250432E-05         3424.5370291001        -3398.4616611734        393.185826383595        498.173597540056      0.0406062350607237        8629.52795302434      0.0399086642395032         4574.5857194454        12050480.4163757       0.909513286352506 
       1.50975975975976                     0.3      0.0305436892979272     0.00933137764319103    1.69340570699155E-05    1.05603809113199E-09    2.12834112008901E-05        3424.50667565862       -3398.29467369658        393.545089520937        499.130831458407      0.0406014991665569        8628.52145555031      0.0399132841783547        4579.13563645125        12050230.3934379        0.89639183337576 
       1.51051051051051                     0.3      0.0305471932084003     0.00933233815079439    1.70032387754674E-05    1.05605412861415E-09     2.1369676576737E-05        3424.47632221715       -3398.12768621977         393.90435265828        500.088065376757      0.0405967632723901        8627.51495807628      0.0399179041172062        4583.68555345711        12049980.3705001       0.883270380399018 
       1.51126126126126                     0.3      0.0305506971188733     0.00933329865839776    1.70724204810194E-05     1.0560701660963E-09    2.14559419525839E-05        3424.44596877567       -3397.96069874295        394.263615795622        501.045299295107      0.0405920273782233        8626.50846060226      0.0399225240560577        4588.23547046296        12049730.3475624       0.870148927422276 
       1.51201201201201                     0.3      0.0305542010293464     0.00933425916600112    1.71416021865713E-05    1.05608620357846E-09    2.15422073284308E-05        3424.41561533419       -3397.79371126614        394.622878932965        502.002533213457      0.0405872914840565        8625.50196312823      0.0399271439949092        4592.78538746881        12049480.3246246       0.857027474445535 
       1.51276276276276                     0.3      0.0305666775087191      0.0093372722157394    1.76401210419276E-05    1.11953406217769E-09    2.21587564706493E-05        3424.30582352238       -3397.12848707047        396.194090860671        503.618468707551      0.0405739651284124        8622.66984785569      0.0399437486911552        4615.53200088962        12048840.7213923       0.847101180937804 
       1.51351351351351                     0.3      0.0305874325687814     0.00934217905262747    1.85347697322773E-05    1.24150757327145E-09    2.32645742935963E-05        3424.12273754408       -3396.00356254531        398.883512741944          505.8421581466       0.040552712745195        8618.15331818383      0.0399714111772321        4655.06787736761        12047841.6701647       0.840122915556251 
       1.51426426426426                     0.3      0.0306081876288436     0.00934708588951553    1.94294184226267E-05    1.36348108436517E-09    2.43703921165431E-05        3423.93965156579       -3394.87863802014        401.572934623216        508.065847585648      0.0405314603619777        8613.63678851198       0.039999073663309        4694.60375384558        12046842.6189371         0.8331446501747 
       1.51501501501502                     0.3      0.0306289426889059     0.00935199272640358    2.03240671129761E-05    1.48545459545889E-09    2.54762099394898E-05        3423.75656558749       -3393.75371349498        404.262356504488        510.289537024697      0.0405102079787605        8609.12025884013      0.0400267361493858        4734.13963032356        12045843.5677096       0.826166384793149 
       1.51576576576577                     0.3      0.0306562509833048      0.0093581580388488    2.17089250891423E-05    1.63551432023743E-09    2.71406318987476E-05        3423.53255162712       -3392.33583557558        407.531548677258        512.954599507937      0.0404847467246792        8603.70929796401       0.040063259427406        4785.97174218464        12044666.3187393       0.817872443146571 
       1.51651651651652                     0.3       0.030685021585836     0.00936460417125971    2.32031698182243E-05    1.79184128597931E-09    2.89297024405687E-05        3423.29940487553       -3390.85258716754        410.930112511191        515.718151280397      0.0404583462906793        8598.09875105806       0.040101759928802        4840.54767245261        12043449.3061966       0.809284917598823 
