VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "U"
 "V"
 "T"
 "Tv"
 "tke"
 "omega"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.59834834834835                     0.3      0.0324602377999993     0.00976637457334487     0.00011006484005008    1.63440742559202E-08    0.000137323250075829        3409.47636640199       -3303.99051057646        598.965344098328          750.4825614634      0.0387551818883188        8236.14741864318      0.0424740163052271        7917.25739412447        11962862.8408675       0.163931889439244 
        1.5990990990991                     0.3      0.0324757668968688     0.00977026176209626    0.000110585343550087    1.63627920305454E-08    0.000137991979718018          3409.329062936       -3303.10728494606        601.072401509076        752.855370258354      0.0387365562750806        8232.18910342148        0.04249462157583        7945.08965639661        11961955.2070637       0.161276259322849 
       1.59984984984985                     0.3      0.0324912959937383     0.00977414895084765    0.000111105847050094    1.63815098051707E-08    0.000138660709360207        3409.18175947001       -3302.22405931565        603.179458919825        755.228179053309      0.0387179306618425        8228.23078819976      0.0425152268464329        7972.92191866875        11961047.5732598       0.158620629206452 
        1.6006006006006                     0.3      0.0325068250906078     0.00977803613959904      0.0001116263505501    1.64002275797959E-08    0.000139329439002397        3409.03445600403       -3301.34083368525        605.286516330573        757.600987848263      0.0386993050486043        8224.27247297805      0.0425358321170358        8000.75418094089         11960139.939456       0.155964999090056 
       1.60135135135135                     0.3      0.0325223541874773     0.00978192332835043    0.000112146854050107    1.64189453544211E-08    0.000139998168644586        3408.88715253804       -3300.45760805485        607.393573741322        759.973796643217      0.0386806794353661        8220.31415775634      0.0425564373876387        8028.58644321302        11959232.3056522        0.15330936897366 
        1.6021021021021                     0.3      0.0325378832843468     0.00978581051710182    0.000112667357550114    1.64376631290463E-08    0.000140666898286775        3408.73984907205       -3299.57438242444         609.50063115207        762.346605438171       0.038662053822128        8216.35584253463      0.0425770426582416        8056.41870548516        11958324.6718483       0.150653738857265 
       1.60285285285285                     0.3      0.0325534123812163     0.00978969770585321    0.000113187861050121    1.64563809036715E-08    0.000141335627928965        3408.59254560606       -3298.69115679404        611.607688562818        764.719414233125      0.0386434282088898        8212.39752731292      0.0425976479288445         8084.2509677573        11957417.0380445       0.147998108740869 
        1.6036036036036                     0.3      0.0325689414780858     0.00979358489460461    0.000113708364550127    1.64750986782967E-08    0.000142004357571154        3408.44524214008       -3297.80793116363        613.714745973567        767.092223028079      0.0386248025956517        8208.43921209121      0.0426182531994474        8112.08323002944        11956509.4042407       0.145342478624472 
       1.60435435435435                     0.3      0.0325844705749553       0.009797472083356    0.000114228868050134    1.64938164529219E-08    0.000142673087213343        3408.29793867409       -3296.92470553323        615.821803384316        769.465031823033      0.0386061769824135        8204.48089686949      0.0426388584700503        8139.91549230158        11955601.7704368       0.142686848508077 
       1.60510510510511                     0.3      0.0325999996718248     0.00980135927210739    0.000114749371550141    1.65125342275471E-08    0.000143341816855533         3408.1506352081       -3296.04147990283        617.928860795064        771.837840617987      0.0385875513691754        8200.52258164779      0.0426594637406532        8167.74775457371         11954694.136633       0.140031218391681 
       1.60585585585586                     0.3      0.0326155287686943     0.00980524646085878    0.000115269875050148    1.65312520021723E-08    0.000144010546497722        3408.00333174212       -3295.15825427242        620.035918205812        774.210649412941      0.0385689257559372        8196.56426642607      0.0426800690112561        8195.58001684585        11953786.5028292       0.137375588275285 
       1.60660660660661                     0.3      0.0326310578655638     0.00980913364961017    0.000115790378550154    1.65499697767976E-08    0.000144679276139911        3407.85602827613       -3294.27502864202        622.142975616561        776.583458207895       0.038550300142699        8192.60595120436      0.0427006742818591        8223.41227911799        11952878.8690253       0.134719958158889 
       1.60735735735736                     0.3      0.0326465869624333     0.00981302083836156    0.000116310882050161    1.65686875514228E-08    0.000145348005782101        3407.70872481014       -3293.39180301161        624.250033027309         778.95626700285      0.0385316745294609        8188.64763598265       0.042721279552462        8251.24454139013        11951971.2352215       0.132064328042493 
       1.60810810810811                     0.3      0.0326621160593028     0.00981690802711296    0.000116831385550168     1.6587405326048E-08     0.00014601673542429        3407.56142134415       -3292.50857738121        626.357090438058        781.329075797804      0.0385130489162227        8184.68932076094      0.0427418848230649        8279.07680366227        11951063.6014177       0.129408697926097 
       1.60885885885886                     0.3      0.0326776451561723     0.00982079521586435    0.000117351889050175    1.66061231006732E-08    0.000146685465066479        3407.41411787817       -3291.62535175081        628.464147848806        783.701884592758      0.0384944233029846        8180.73100553923      0.0427624900936678         8306.9090659344        11950155.9676139       0.126753067809701 
       1.60960960960961                     0.3      0.0326931742530418     0.00982468240461574    0.000117872392550182    1.66248408752984E-08    0.000147354194708669        3407.26681441218        -3290.7421261204        630.571205259554        786.074693387712      0.0384757976897464        8176.77269031752      0.0427830953642707        8334.74132820654          11949248.33381       0.124097437693305 
       1.61036036036036                     0.3      0.0327087033499113     0.00982856959336713    0.000118392896050188    1.66435586499236E-08    0.000148022924350858        3407.11951094619          -3289.85890049        632.678262670303        788.447502182666      0.0384571720765083        8172.81437509581      0.0428037006348736        8362.57359047868        11948340.7000062        0.12144180757691 
       1.61111111111111                     0.3      0.0327242324467808     0.00983245678211852    0.000118913399550195    1.66622764245488E-08    0.000148691653993047        3406.97220748021        -3288.9756748596        634.785320081052         790.82031097762      0.0384385464632701        8168.85605987409      0.0428243059054765        8390.40585275082        11947433.0662024       0.118786177460513 
       1.61186186186186                     0.3      0.0327397615436503     0.00983634397086991    0.000119433903050202    1.66809941991741E-08    0.000149360383635237        3406.82490401422       -3288.09244922919          636.8923774918        793.193119772575      0.0384199208500319        8164.89774465238      0.0428449111760794        8418.23811502296        11946525.4323985       0.116130547344117 
       1.61261261261261                     0.3      0.0327552906405198      0.0098402311596213    0.000119954406550209    1.66997119737993E-08    0.000150029113277426        3406.67760054823       -3287.20922359879        638.999434902548        795.565928567528      0.0384012952367938        8160.93942943067      0.0428655164466823        8446.07037729509        11945617.7985947       0.113474917227721 
       1.61336336336336                     0.3      0.0327708197373893     0.00984411834837269    0.000120474910050216    1.67184297484245E-08    0.000150697842919615        3406.53029708224       -3286.32599796838        641.106492313297        797.938737362482      0.0383826696235556        8156.98111420896      0.0428861217172852        8473.90263956723        11944710.1647909       0.110819287111326 
       1.61411411411411                     0.3      0.0328337826034107     0.00985607736193162    0.000124770357113324    1.88034887512024E-08    0.000156360659399504        3406.16168938902       -3283.81225670706        645.816315886869        803.031686609482      0.0383436247553966        8148.68338235005      0.0429710037145093        8585.67279509855        11943184.0703834       0.109443295713381 
       1.61486486486486                     0.3      0.0328979696571172     0.00986824469603309    0.000129163229270501    2.09418766276876E-08    0.000162152365059274        3405.78737019712       -3281.25643451497        650.593312580783        808.194838214473       0.038304052899801        8140.27365727402      0.0430575445884908        8699.60924981022        11941642.0145235        0.10810032968931 
       1.61561561561562                     0.3      0.0329621567108237     0.00988041203013456    0.000133556101427677    2.30802645041728E-08    0.000167944070719044        3405.41305100522       -3278.70061232288        655.370309274696        813.357989819464      0.0382644810442055        8131.86393219799      0.0431440854624724        8813.54570452189        11940099.9586635       0.106757363665239 
       1.61636636636637                     0.3      0.0330305151058031     0.00989313280960869    0.000138373872302544    2.65381442289175E-08    0.000174296082787332        3405.02258622505       -3276.04721120365        660.312931839053         818.53549403013      0.0382238301317678         8123.2249030315       0.043236337784612        8936.21806338393        11938573.7557571       0.105563661920359 
       1.61711711711712                     0.3      0.0331100214926778     0.00990733268276644     0.00014432719338808    3.35223919653449E-08     0.00018214552479302        3404.58897204155       -3273.13302847539        665.698192811681        823.751355862788      0.0381802954186185        8113.97305415671      0.0433438540647004         9082.2372985375        11937089.9201821       0.104768871908143 
       1.61786786786787                     0.3      0.0331895278795526      0.0099215325559242    0.000150280514473618    4.05066397017744E-08     0.00018999496679871        3404.15535785804       -3270.21884574713        671.083453784311        828.967217695448      0.0381367607054692        8104.72120528192      0.0434513703447887        9228.25653369111        11935606.0846071       0.103974081895928 
       1.61861861861862                     0.3      0.0332690342664274     0.00993573242908194    0.000156233835559155    4.74908874382018E-08    0.000197844408804398        3403.72174367453       -3267.30466301887        676.468714756939        834.183079528106      0.0380932259923199        8095.46935640713       0.043558886624877        9374.27576884468        11934122.2490322       0.103179291883712 
       1.61936936936937                     0.3      0.0333157373730814     0.00994489644730715    0.000159254628996863    5.05403666951008E-08    0.000201817634804651        3403.41717775137       -3265.34005982034        680.509801951931        837.960284269979      0.0380604324009062        8088.50018797862      0.0436217509794122         9460.6926757833        11932814.2741508       0.101937464716838 
       1.62012012012012                     0.3      0.0333376806757879     0.00995025941941749    0.000160061960575191    5.06198961336651E-08    0.000202865106194167        3403.21001701465       -3264.09219600978         683.53631136745        840.651595550102      0.0380357461715172         8083.2539789598      0.0436509122129443        9502.12194881784        11931639.0383207       0.100358215431439 
       1.62087087087087                     0.3      0.0333596239784944     0.00995562239152782    0.000160869292153519    5.06994255722294E-08    0.000203912577583682        3403.00285627793       -3262.84433219922        686.562820782969        843.342906830225      0.0380110599421282        8078.00776994098      0.0436800734464764        9543.55122185237        11930463.8024906      0.0987789661460397 
       1.62162162162162                     0.3      0.0333815672812008     0.00996098536363816    0.000161676623731847    5.07789550107938E-08    0.000204960048973198        3402.79569554122       -3261.59646838866         689.58933019849        846.034218110348      0.0379863737127392        8072.76156092216      0.0437092346800085        9584.98049488692        11929288.5666605        0.09719971686064 
       1.62237237237237                     0.3      0.0334035105839073     0.00996634833574849    0.000162483955310175    5.08584844493581E-08    0.000206007520362714         3402.5885348045        -3260.3486045781        692.615839614009        848.725529390471      0.0379616874833502        8067.51535190334      0.0437383959135405        9626.40976792146        11928113.3308305      0.0956204675752409 
       1.62312312312312                     0.3      0.0334254538866138     0.00997171130785883    0.000163291286888502    5.09380138879224E-08    0.000207054991752229        3402.38137406778       -3259.10074076754        695.642349029528        851.416840670594      0.0379370012539612        8062.26914288452      0.0437675571470726        9667.83904095601        11926938.0950004      0.0940412182898417 
       1.62387387387387                     0.3      0.0334473971893203     0.00997707427996916     0.00016409861846683    5.10175433264867E-08    0.000208102463141745        3402.17421333106       -3257.85287695698        698.668858445047        854.108151950717      0.0379123150245722         8057.0229338657      0.0437967183806047        9709.26831399054        11925762.8591703      0.0924619690044425 
       1.62462462462462                     0.3      0.0334693404920267     0.00998243725207949    0.000164905950045158     5.1097072765051E-08    0.000209149934531261        3401.96705259435       -3256.60501314642        701.695367860567         856.79946323084      0.0378876287951832        8051.77672484688      0.0438258796141367        9750.69758702508        11924587.6233402      0.0908827197190434 
       1.62537537537538                     0.3      0.0334912837947332     0.00998780022418983    0.000165713281623486    5.11766022036153E-08    0.000210197405920776        3401.75989185763       -3255.35714933586        704.721877276087        859.490774510964      0.0378629425657942        8046.53051582806      0.0438550408476688        9792.12686005963        11923412.3875101      0.0893034704336437 
       1.62612612612613                     0.3      0.0335132270974397     0.00999316319630016    0.000166520613201814    5.12561316421796E-08    0.000211244877310292        3401.55273112091        -3254.1092855253        707.748386691606        862.182085791087      0.0378382563364052        8041.28430680924      0.0438842020812009        9833.55613309417        11922237.1516801      0.0877242211482445 
       1.62687687687688                     0.3      0.0335351704001461      0.0099985261684105    0.000167327944780142    5.13356610807439E-08    0.000212292348699808        3401.34557038419       -3252.86142171474        710.774896107125        864.873397071209      0.0378135701070162        8036.03809779042       0.043913363314733        9874.98540612871          11921061.91585      0.0861449718628454 
       1.62762762762763                     0.3      0.0335571137028526      0.0100038891405208     0.00016813527635847    5.14151905193082E-08    0.000213339820089323        3401.13840964748       -3251.61355790417        713.801405522645        867.564708351332      0.0377888838776272        8030.79188877161       0.043942524548265        9916.41467916325        11919886.6800199      0.0845657225774462 
       1.62837837837838                     0.3      0.0335790570055591      0.0100092521126312    0.000168942607936798    5.14947199578725E-08    0.000214387291478839        3400.93124891076       -3250.36569409361        716.827914938164        870.256019631455      0.0377641976482382        8025.54567975279      0.0439716857817971        9957.84395219779        11918711.4441898       0.082986473292047 
       1.62912912912913                     0.3      0.0336010003082656      0.0100146150847415    0.000169749939515126    5.15742493964368E-08    0.000215434762868355        3400.72408817404       -3249.11783028305        719.854424353684        872.947330911579      0.0377395114188492        8020.29947073397      0.0440008470153292        9999.27322523234        11917536.2083597      0.0814072240066474 
       1.62987987987988                     0.3       0.033622943610972      0.0100199780568518    0.000170557271093454    5.16537788350011E-08     0.00021648223425787        3400.51692743732       -3247.86996647249        722.880933769203        875.638642191702      0.0377148251894602        8015.05326171515      0.0440300082488613        10040.7024982669        11916360.9725297      0.0798279747212482 
       1.63063063063063                     0.3      0.0336448869136785      0.0100253410289622    0.000171364602671782    5.17333082735655E-08    0.000217529705647386        3400.30976670061       -3246.62210266193        725.907443184723        878.329953471825      0.0376901389600712        8009.80705269633      0.0440591694823933        10082.1317713014        11915185.7366996       0.078248725435849 
       1.63138138138138                     0.3       0.033666830216385      0.0100307040010725    0.000172171934250109    5.18128377121298E-08    0.000218577177036901        3400.10260596389       -3245.37423885137        728.933952600242        881.021264751948      0.0376654527306822        8004.56084367751      0.0440883307159254         10123.561044336        11914010.5008695      0.0766694761504499 
       1.63213213213213                     0.3      0.0336887735190915      0.0100360669731828    0.000172979265828437    5.18923671506941E-08    0.000219624648426417        3399.89544522717       -3244.12637504081        731.960462015761        883.712576032071      0.0376407665012932        7999.31463465869      0.0441174919494575        10164.9903173705        11912835.2650394      0.0750902268650507 
       1.63288288288288                     0.3      0.0337107168217979      0.0100414299452932    0.000173786597406765    5.19718965892584E-08    0.000220672119815933        3399.68828449045       -3242.87851123025        734.986971431282        886.403887312194      0.0376160802719042        7994.06842563987      0.0441466531829896         10206.419590405        11911660.0292093      0.0735109775796511 
       1.63363363363363                     0.3      0.0337326601245044      0.0100467929174035    0.000174593928985093    5.20514260278227E-08    0.000221719591205449        3399.48112375374       -3241.63064741969        738.013480846801        889.095198592317      0.0375913940425152        7988.82221662105      0.0441758144165216        10247.8488634396        11910484.7933793      0.0719317282942519 
       1.63438438438438                     0.3      0.0337546034272109      0.0100521558895138    0.000175401260563421     5.2130955466387E-08    0.000222767062594964        3399.27396301702       -3240.38278360913         741.03999026232         891.78650987244      0.0375667078131262        7983.57600760223      0.0442049756500537        10289.2781364741        11909309.5575492      0.0703524790088527 
       1.63513513513514                     0.3      0.0337765467299174      0.0100575188616242    0.000176208592141749    5.22104849049513E-08     0.00022381453398448         3399.0668022803       -3239.13491979857        744.066499677839        894.477821152563      0.0375420215837372        7978.32979858341      0.0442341368835858        10330.7074095087        11908134.3217191      0.0687732297234536 
       1.63588588588589                     0.3      0.0337984900326238      0.0100628818337345    0.000177015923720077    5.22900143435156E-08    0.000224862005373995        3398.85964154358       -3237.88705598801        747.093009093359        897.169132432686      0.0375173353543482         7973.0835895646      0.0442632981171178        10372.1366825432         11906959.085889      0.0671939804380544 
       1.63663663663664                     0.3      0.0338204333353303      0.0100682448058448    0.000177823255298405    5.23695437820799E-08    0.000225909476763511        3398.65248080687       -3236.63919217745        750.119518508879         899.86044371281      0.0374926491249592        7967.83738054577      0.0442924593506499        10413.5659555778        11905783.8500589      0.0656147311526548 
       1.63738738738739                     0.3      0.0338423766380368      0.0100736077779552    0.000178630586876733    5.24490732206442E-08    0.000226956948153027        3398.44532007015       -3235.39132836689        753.146027924398        902.551754992933      0.0374679628955702        7962.59117152696       0.044321620584182        10454.9952286123        11904608.6142289      0.0640354818672556 
       1.63813813813814                     0.3      0.0338643199407433      0.0100789707500655    0.000179437918455061    5.25286026592085E-08    0.000228004419542542        3398.23815933343       -3234.14346455633        756.172537339917        905.243066273055      0.0374432766661812        7957.34496250814      0.0443507818177141        10496.4245016468        11903433.3783988      0.0624562325818564 
       1.63888888888889                     0.3      0.0339057723131878      0.0100873286923254    0.000181989309956824      5.494825394393E-08    0.000231357189910113        3397.95424982361       -3232.33085803886        759.998466197379        908.789988983632      0.0374122023776837        7950.74117669467      0.0444064988567538         10573.301021721         11902153.553073      0.0611428493612851 
       1.63963963963964                     0.3      0.0339852787000625      0.0101015285654832     0.00018794263104236    6.19325016803574E-08    0.000239206631915801         3397.5206356401        -3229.4166753106        765.383727170007         914.00585081629      0.0373686676645344        7941.48932781988      0.0445140151368421        10719.3202568746         11900669.717498      0.0603480593490697 
       1.64039039039039                     0.3      0.0340647850869373      0.0101157284386409    0.000193895952127899    6.89167494167869E-08    0.000247056073921491         3397.0870214566       -3226.50249258234        770.768988142637         919.22171264895      0.0373251329513852        7932.23747894508      0.0446215314169304        10865.3394920282         11899185.881923      0.0595532693368541 
       1.64114114114114                     0.3      0.0341442914738121      0.0101299283117987    0.000199849273213435    7.59009971532143E-08    0.000254905515927179        3396.65340727309       -3223.58830985408        776.154249115265        924.437574481608      0.0372815982382359        7922.98563007029      0.0447290476970188        11011.3587271818         11897702.046348      0.0587584793246387 
       1.64189189189189                     0.3      0.0342341379737638      0.0101449129660362    0.000207447163279082    8.94067201575696E-08    0.000264500397872232        3396.18281672469       -3220.43882750174        781.954711456558        929.524637359565       0.037235544516109         7913.1984207894      0.0448510851534162        11182.1896522535        11896308.7855529      0.0581729527982617 
       1.64264264264264                     0.3      0.0343298898750571      0.0101603458211015    0.000215984292576363    1.06636960341715E-07    0.000275092128041555        3395.69110839225       -3217.15496183025        787.992301835165        934.538141127072      0.0371880521483033         7903.1054587535      0.0449814158821809        11367.1909239974        11894967.2534403       0.057706939942655 
       1.64339339339339                     0.3      0.0344256417763503      0.0101757786761668    0.000224521421873645     1.2386720052586E-07    0.000285683858210878        3395.19940005982       -3213.87109615875        794.029892213772         939.55164489458      0.0371405597804977         7893.0124967176      0.0451117466109457        11552.1921957412        11893625.7213277      0.0572409270870484 
       1.64414414414414                     0.3      0.0345213936776436      0.0101912115312321    0.000233058551170929     1.4109744071001E-07    0.000296275588380205        3394.70769172738       -3210.58723048726        800.067482592381        944.565148662089       0.037093067412692         7882.9195346817      0.0452420773397104        11737.1934674851        11892284.1892151      0.0567749142314416 
       1.64489489489489                     0.3      0.0345561752419479      0.0101989559718847    0.000234832939039503    1.42398019592613E-07    0.000298500307523925        3394.41513363174       -3208.78467476741        804.317729421917        947.692710736429      0.0370604757405294        7875.99323697801      0.0452886037152572        11805.0065960214        11890820.9058707      0.0558767921043389 
       1.64564564564565                     0.3      0.0345866443561052      0.0102061566086894    0.000236128996186798    1.42571888773179E-07    0.000300133225478584        3394.13666149182        -3207.0868925429        808.441556908348        950.686879591481      0.0370289379990203        7869.29091838842      0.0453292025838686        11864.5309721845        11889349.0110254      0.0549481067593925 
        1.6463963963964                     0.3      0.0346171134702625      0.0102133572454941    0.000237425053334094    1.42745757953745E-07    0.000301766143433243        3393.85818935191       -3205.38911031839         812.56538439478        953.681048446533      0.0369974002575113        7862.58859979883        0.04536980145248        11924.0553483476        11887877.1161801      0.0540194214144461 
       1.64714714714715                     0.3      0.0346475825844198      0.0102205578822988    0.000238721110481389    1.42919627134311E-07    0.000303399061387901          3393.579717212       -3203.69132809388        816.689211881211        956.675217301586      0.0369658625160023        7855.88628120924      0.0454104003210914        11983.5797245108        11886405.2213348      0.0530907360694997 
        1.6478978978979                     0.3      0.0346780516985771      0.0102277585191035    0.000240017167628685    1.43093496314877E-07    0.000305031979342561        3393.30124507209       -3201.99354586937        820.813039367644        959.669386156639      0.0369343247744933        7849.18396261965      0.0454509991897028         12043.104100674        11884933.3264895      0.0521620507245531 
       1.64864864864865                     0.3      0.0347085208127343      0.0102349591559082     0.00024131322477598    1.43267365495443E-07    0.000306664897297219        3393.02277293217       -3200.29576364487        824.936866854075        962.663555011691      0.0369027870329842        7842.48164403006      0.0454915980583142        12102.6284768371        11883461.4316441      0.0512333653796067 
        1.6493993993994                     0.3      0.0347389899268916      0.0102421597927129    0.000242609281923275    1.43441234676009E-07    0.000308297815251878        3392.74430079226       -3198.59798142036        829.060694340507        965.657723866743      0.0368712492914752        7835.77932544047      0.0455321969269255        12162.1528530002        11881989.5367988      0.0503046800346603 
       1.65015015015015                     0.3      0.0347694590410489      0.0102493604295176    0.000243905339070571    1.43615103856575E-07    0.000309930733206537        3392.46582865235       -3196.90019919585        833.184521826938        968.651892721796      0.0368397115499662        7829.07700685088      0.0455727957955369        12221.6772291634        11880517.6419535      0.0493759946897139 
        1.6509009009009                     0.3      0.0347999281552062      0.0102565610663224    0.000245201396217866    1.43788973037141E-07    0.000311563651161196        3392.18735651243       -3195.20241697134         837.30834931337        971.646061576848      0.0368081738084571        7822.37468826129      0.0456133946641483        12281.2016053265        11879045.7471082      0.0484473093447676 
       1.65165165165165                     0.3      0.0348303972693635      0.0102637617031271    0.000246497453365162    1.43962842217707E-07    0.000313196569115855        3391.90888437252       -3193.50463474683        841.432176799803        974.640230431901      0.0367766360669481         7815.6723696717      0.0456539935327597        12340.7259814897        11877573.8522629      0.0475186239998209 
        1.6524024024024                     0.3      0.0348608663835207      0.0102709623399318    0.000247793510512457    1.44136711398272E-07    0.000314829487070514        3391.63041223261       -3191.80685252233        845.556004286234        977.634399286953      0.0367450983254391        7808.97005108211      0.0456945924013711        12400.2503576529        11876101.9574175      0.0465899386548745 
       1.65315315315315                     0.3       0.034891335497678      0.0102781629767365    0.000249089567659753    1.44310580578838E-07    0.000316462405025173         3391.3519400927       -3190.10907029782        849.679831772666        980.628568142006        0.03671356058393        7802.26773249252      0.0457351912699825         12459.774733816        11874630.0625722      0.0456612533099282 
        1.6539039039039                     0.3      0.0349218046118353      0.0102853636135412    0.000250385624807048    1.44484449759404E-07    0.000318095322979831        3391.07346795278       -3188.41128807331        853.803659259097        983.622736997058       0.036682022842421        7795.56541390293      0.0457757901385939        12519.2991099791        11873158.1677269      0.0447325679649818 
       1.65465465465465                     0.3      0.0349522737259926      0.0102925642503459    0.000251681681954343     1.4465831893997E-07     0.00031972824093449        3390.79499581287        -3186.7135058488        857.927486745529         986.61690585211       0.036650485100912        7788.86309531334      0.0458163890072052        12578.8234861423        11871686.2728816      0.0438038826200354 
       1.65540540540541                     0.3      0.0349827428401499      0.0102997648871506    0.000252977739101639    1.44832188120536E-07     0.00032136115888915        3390.51652367296       -3185.01572362429        862.051314231961        989.611074707163       0.036618947359403        7782.16077672375      0.0458569878758166        12638.3478623055        11870214.3780362      0.0428751972750887 
       1.65615615615616                     0.3      0.0350132119543071      0.0103069655239553    0.000254273796248934    1.45006057301102E-07    0.000322994076843808        3390.23805153304       -3183.31794139979        866.175141718393        992.605243562215      0.0365874096178939        7775.45845813416       0.045897586744428        12697.8722384686        11868742.4831909      0.0419465119301424 
       1.65690690690691                     0.3      0.0350436810684644        0.01031416616076     0.00025556985339623    1.45179926481668E-07    0.000324626994798467        3389.95957939313       -3181.62015917528        870.298969204824        995.599412417268      0.0365558718763849        7768.75613954457      0.0459381856130394        12757.3966146318        11867270.5883456       0.041017826585196 
       1.65765765765766                     0.3      0.0350741501826217      0.0103213667975647    0.000256865910543525    1.45353795662234E-07    0.000326259912753126        3389.68110725322       -3179.92237695077        874.422796691256         998.59358127232      0.0365243341348759        7762.05382095498      0.0459787844816508        12816.9209907949        11865798.6935003      0.0400891412402496 
       1.65840840840841                     0.3       0.035104619296779      0.0103285674343694    0.000258161967690821      1.455276648428E-07    0.000327892830707785        3389.40263511331       -3178.22459472626        878.546624177689        1001.58775012737      0.0364927963933668        7755.35150236538      0.0460193833502622        12876.4453669581         11864326.798655       0.039160455895303 
       1.65915915915916                     0.3      0.0351350884109363      0.0103357680711741    0.000259458024838116    1.45701534023366E-07    0.000329525748662444        3389.12416297339       -3176.52681250175         882.67045166412        1004.58191898243      0.0364612586518578        7748.64918377579      0.0460599822188736        12935.9697431212        11862854.9038096      0.0382317705503566 
       1.65990990990991                     0.3      0.0351655575250935      0.0103429687079788    0.000260754081985412    1.45875403203932E-07    0.000331158666617103        3388.84569083348       -3174.82903027725        886.794279150552        1007.57608783748      0.0364297209103488         7741.9468651862      0.0461005810874849        12995.4941192844        11861383.0089643      0.0373030852054102 
       1.66066066066066                     0.3      0.0351960266392508      0.0103501693447836    0.000262050139132707    1.46049272384498E-07    0.000332791584571761        3388.56721869357       -3173.13124805274        890.918106636983        1010.57025669253      0.0363981831688398        7735.24454659661      0.0461411799560963        13055.0184954475         11859911.114119      0.0363743998604638 
       1.66141141141141                     0.3      0.0352264957534081      0.0103573699815883    0.000263346196280002    1.46223141565063E-07     0.00033442450252642        3388.28874655366       -3171.43346582823        895.041934123415        1013.56442554758      0.0363666454273307        7728.54222800703      0.0461817788247077        13114.5428716106        11858439.2192737      0.0354457145155175 
       1.66216216216216                     0.3      0.0352569648675654       0.010364570618393    0.000264642253427298    1.46397010745629E-07     0.00033605742048108        3388.01027441374       -3169.73568360372        899.165761609847        1016.55859440264      0.0363351076858217        7721.83990941743      0.0462223776933191        13174.0672477738        11856967.3244284      0.0345170291705708 
       1.66291291291291                     0.3      0.0352874339817227      0.0103717712551977    0.000265938310574593    1.46570879926195E-07    0.000337690338435738        3387.73180227383       -3168.03790137922        903.289589096279        1019.55276325769      0.0363035699443127        7715.13759082784      0.0462629765619305         13233.591623937         11855495.429583      0.0335883438256244 
       1.66366366366366                     0.3      0.0353179030958799      0.0103789718920024    0.000267234367721889    1.46744749106761E-07    0.000339323256390397        3387.45333013392       -3166.34011915471         907.41341658271        1022.54693211274      0.0362720322028037        7708.43527223825      0.0463035754305419        13293.1160001001        11854023.5347377      0.0326596584806781 
       1.66441441441441                     0.3      0.0353942088811094      0.0103919525743162    0.000273614562004095    1.58894321250911E-07    0.000347246379569065        3387.02513955142       -3163.52870823201        912.880944668443        1026.95892631238      0.0362292923207348        7699.35229842254      0.0464071772734284        13440.7408303371        11852643.1708144      0.0320558270158795 
       1.66516516516517                     0.3      0.0354899607824026      0.0104073854293815    0.000282151691301376    1.76124561435056E-07    0.000357838109738388        3386.53343121899       -3160.24484256052         918.91853504705        1031.97243007989      0.0361817999529291        7689.25933638664      0.0465375080021932        13625.7421020809        11851301.6387018      0.0315898141602729 
       1.66591591591592                     0.3      0.0355857126836959      0.0104228182844468     0.00029068882059866    1.93354801619206E-07    0.000368429839907714        3386.04172288655       -3156.96097688902        924.956125425659         1036.9859338474      0.0361343075851235        7679.16637435074       0.046667838730958        13810.7433738248        11849960.1065892      0.0311238013046661 
       1.66666666666667                     0.3      0.0356814645849892      0.0104382511395121    0.000299225949895941    2.10585041803351E-07    0.000379021570077037        3385.55001455412       -3153.67711121753        930.993715804266         1041.9994376149      0.0360868152173178        7669.07341231484      0.0467981694597227        13995.7446455687        11848618.5744766      0.0306577884490594 
       1.66741741741742                     0.3      0.0357938563709239      0.0104535520743153    0.000311533479346775    2.43384559530103E-07    0.000393378669314953        3385.01185363221       -3150.03054075118         937.52747309542        1046.88175771613      0.0360356909627139        7658.20864771092      0.0469525598778909        14223.4409286353        11847473.1290521       0.030315850296484 
       1.66816816816817                     0.3      0.0359062552056928      0.0104688529532356    0.000323842605979707    2.76190672570448E-07    0.000407737363603746        3384.47367303249       -3146.38381663917         944.06144056822        1051.76402224655      0.0359845651696037        7647.34355616313      0.0471069604880025        14451.1552977684        11846327.7666921      0.0299739647032887 
       1.66891891891892                     0.3      0.0360186540404617       0.010484153832156    0.000336151732612639    3.08996785610793E-07    0.000422096057892539        3383.93549243277       -3142.73709252717         950.59540804102        1056.64628677696      0.0359334393764934        7636.47846461534      0.0472613610981142        14678.8696669015        11845182.4043321      0.0296320791100933 
       1.66966966966967                     0.3       0.036109909114825      0.0104976663913443    0.000345427598000693    3.32125924857532E-07    0.000432942580832572        3383.45311243182       -3139.52011714715        956.732434438672        1061.11771993822      0.0358860761133438        7626.41298249035      0.0473862745319754         14862.991590195        11843855.3519439      0.0291889552840737 
