VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      2     0.00700700700700701      0.0754670720588138      0.0231247230661282    3.57043966239719E-11    3.48965327657349E-24    3.06203840904408E-09                       0                       0                       0                       0                       0                       0        3277.23842415286        3.70009119513585        852.848929455454        788.257729446269      0.0985918097937913        24228.5264825998        6249986.13273792     0.00404378138849876 
                      2     0.00735735735735736      0.0767582286339085      0.0235203606118095    3.26976328579808E-11    1.25934873766055E-24    2.80918459675547E-09                       0                       0                       0                       0                       0                       0        3286.06456405902        3.73328487825871        838.404817613823        765.976824570211       0.100278615693825        24227.7344543974        6262346.64435536     0.00440348391175103 
                      2     0.00770770770770771      0.0779055373150463      0.0238719214819201    3.00734944439669E-11    3.26197602596762E-25    2.58822144899533E-09                       0                       0                       0                       0                       0                       0        3293.69094982751        3.76240424611634         826.04338237857        745.926381169776       0.101777481596906        24227.0803489181        6273267.07184808     0.00468401139196365 
                      2     0.00805805805805806      0.0789727336887158      0.0241989351504864    2.76724519251335E-11    1.46487668320136E-25    2.38591242213944E-09                       0                       0                       0                       0                       0                       0        3300.63461471953        3.78930051969421          814.8616673005        727.111122696969       0.103171680032153        24226.5057127801         6283368.7057094     0.00502761061968478 
                      2     0.00840840840840841       0.079963008516478      0.0245023771430261    2.54639346570138E-11    2.99679148278272E-26    2.19963858518261E-09                       0                       0                       0                       0                       0                       0        3306.98829096768        3.81417084844453        804.677237591177         709.49293813249       0.104465396118972        24225.9971116497        6292712.22243681     0.00528912618952457 
                      2     0.00875875875875876       0.080834890237521      0.0247695403476512    2.35654461413595E-11    1.70927013499616E-26    2.03925449138774E-09                       0                       0                       0                       0                       0                       0        3312.41418617938        3.83600174489216        796.052026367982        693.703982489293       0.105604449132038        24225.5940255894        6300863.51442373      0.0055969999971873 
                      2     0.00910910910910911      0.0817076107931296      0.0250369605157547     2.1663007488372E-11      3.996021788896E-27    1.87853355757285E-09                       0                       0                       0                       0                       0                       0        3317.84890673379        3.85784111880857        787.413500911841        677.904083421126        0.10674460002432         24225.189655843        6309026.76831225     0.00587914677504109 
                      2     0.00945945945945946      0.0824254430925419      0.0252569184944216    2.01416680581811E-11    2.21032181054892E-27    1.74962847242638E-09                       0                       0                       0                       0                       0                       0        3322.16020531674        3.87590441814542        780.622126440545        664.538336965615       0.107682379571139        24224.9039702631        6315661.48528747     0.00611853948179382 
                      2     0.00980980980980981      0.0831285369124909      0.0254723603103578     1.8659361063066E-11    1.34383863176234E-27    1.62398883564865E-09                       0                       0                       0                       0                       0                       0        3326.36113615733         3.8936328844416        774.009616836969        651.400542472885       0.108600902990307        24224.6306869151        6322144.49505747     0.00640010377303551 
                      2      0.0101601601601602      0.0838079612533367      0.0256805493395622    1.72299434178462E-11    1.12363848664405E-27    1.50276563244813E-09                       0                       0                       0                       0                       0                       0        3330.40474237864        3.91078611974017        767.652763151623        638.648632309592       0.109488504988303        24224.3735302778        6328403.72823136     0.00662573758997499 
                      2      0.0105105105105105      0.0843687323225179      0.0258523814876319    1.60822215449081E-11    2.22020565669177E-27    1.40509536883346E-09                       0                       0                       0                       0                       0                       0        3333.63671208694        3.92519432787594        762.601182819343        627.806564735728       0.110221099352064        24224.2040852592        6333503.51983778     0.00684459415479804 
                      2      0.0108608608608609      0.0849285466441153      0.0260239206515325    1.49381098846598E-11    2.34662639545289E-27    1.30772730061456E-09                       0                       0                       0                       0                       0                       0        3336.86040341176        3.93959529553165        757.561242343568        616.977968977968       0.110952440555815        24224.0360228516        6338590.56930106      0.0070897352201222 
                      2      0.0112112112112112      0.0854726974059648      0.0261906600423676    1.38271317625879E-11    7.58262672876827E-27    1.21313637732113E-09                       0                       0                       0                       0                       0                       0         3339.9864681536        3.95361801593984        752.678466162507        606.414845037558       0.111663325239457        24223.8766634783        6343533.21623902     0.00728491667345743 
                      2      0.0115615615615616      0.0859134537558997       0.026325718609192    1.29516860025408E-11    2.19909349869948E-26    1.13828071023644E-09                       0                       0                       0                       0                       0                       0        3342.44379589059        3.96531622839281        748.854043389563        597.575278527266       0.112239148517382        24223.7846415402        6347480.71229218     0.00746559306289297 
