VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
     0.0550550550550551                     0.1       0.029899999499321     0.00916200038045645     1.9923581176139E-19    5.89639681880224E-28    1.06259101376962E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0575575575575576                     0.1       0.029899999499321     0.00916200038045645    2.09795473984354E-19    6.40767287244782E-28    1.11890916191296E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0600600600600601                     0.1       0.029899999499321     0.00916200038045645    2.20355136207318E-19    6.91894892609339E-28    1.17522731005629E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0625625625625626                     0.1       0.029899999499321     0.00916200038045645    2.30914798430282E-19    7.43022497973896E-28    1.23154545819962E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0650650650650651                     0.1       0.029899999499321     0.00916200038045645    2.41474460653246E-19    7.94150103338454E-28    1.28786360634295E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0675675675675676                     0.1       0.029899999499321     0.00916200038045645     2.5203412287621E-19    8.45277708703011E-28    1.34418175448628E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0700700700700701                     0.1       0.029899999499321     0.00916200038045645    2.62593785099174E-19    8.96405314067569E-28    1.40049990262961E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0725725725725726                     0.1       0.029899999499321     0.00916200038045645    2.73153447322138E-19    9.47532919432126E-28    1.45681805077295E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0750750750750751                     0.1       0.029899999499321     0.00916200038045645    2.83413176693877E-19    1.12558680706639E-27     1.5115365661216E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0775775775775776                     0.1       0.029899999499321     0.00916200038045645    2.92740191990716E-19    1.36490920847588E-27    1.56128067176867E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
