VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.45800800800801                     0.3      0.0301744406143278       0.009236598398383    5.80864132799759E-06    7.50019467687303E-11    7.23720050916377E-06                       0                       0                       0                       0                       0                       0        3427.75659792809        -3417.2875235883        350.037578283901        424.078747650382      0.0394240895623566        3987.64132289766        12072395.3299601        1.79599256828982 
       1.45840840840841                     0.3      0.0301752415004242     0.00923682379065516     5.8207200518392E-06    7.50029639771443E-11    7.25250958678247E-06                       0                       0                       0                       0                       0                       0        3427.75052410717       -3417.25449500954        350.102223926479        424.433721642545      0.0394251434111484        3988.47344023468        12072338.5647808         1.7876456917502 
       1.45880880880881                     0.3      0.0301760423865205     0.00923704918292732    5.83279877568081E-06    7.50039811855584E-11    7.26781866440117E-06                       0                       0                       0                       0                       0                       0        3427.74445028625       -3417.22146643077        350.166869569058        424.788695634707      0.0394261972599403         3989.3055575717        12072281.7996015        1.77929881521059 
       1.45920920920921                     0.3      0.0301768432726168     0.00923727457519948    5.84487749952243E-06    7.50049983939724E-11    7.28312774201987E-06                       0                       0                       0                       0                       0                       0        3427.73837646534       -3417.18843785201        350.231515211637         425.14366962687      0.0394272511087322        3990.13767490872        12072225.0344221        1.77095193867097 
       1.45960960960961                     0.3      0.0301776441587132     0.00923749996747164    5.85695622336404E-06    7.50060156023865E-11    7.29843681963857E-06                       0                       0                       0                       0                       0                       0        3427.73230264442       -3417.15540927325        350.296160854216        425.498643619032      0.0394283049575241        3990.96979224574        12072168.2692428        1.76260506213135 
       1.46001001001001                     0.3      0.0301784450448095      0.0092377253597438    5.86903494720566E-06    7.50070328108005E-11    7.31374589725727E-06                       0                       0                       0                       0                       0                       0         3427.7262288235       -3417.12238069449        350.360806496795        425.853617611195       0.039429358806316        3991.80190958276        12072111.5040635        1.75425818559174 
       1.46041041041041                     0.3      0.0301792459309059     0.00923795075201597    5.88111367104727E-06    7.50080500192146E-11    7.32905497487597E-06                       0                       0                       0                       0                       0                       0        3427.72015500258       -3417.08935211572        350.425452139373        426.208591603357      0.0394304126551079        3992.63402691978        12072054.7388842        1.74591130905212 
       1.46081081081081                     0.3      0.0301800468170022     0.00923817614428813    5.89319239488888E-06    7.50090672276287E-11    7.34436405249468E-06                       0                       0                       0                       0                       0                       0        3427.71408118166       -3417.05632353696        350.490097781952         426.56356559552      0.0394314665038998         3993.4661442568        12071997.9737049         1.7375644325125 
       1.46121121121121                     0.3      0.0301808477030985     0.00923840153656029     5.9052711187305E-06    7.50100844360427E-11    7.35967313011338E-06                       0                       0                       0                       0                       0                       0        3427.70800736074        -3417.0232949582        350.554743424531        426.918539587682      0.0394325203526916        3994.29826159381        12071941.2085256        1.72921755597288 
       1.46161161161161                     0.3      0.0301816485891949     0.00923862692883245    5.91734984257211E-06    7.50111016444568E-11    7.37498220773208E-06                       0                       0                       0                       0                       0                       0        3427.70193353982       -3416.99026637943         350.61938906711        427.273513579844      0.0394335742014835        3995.13037893083        12071884.4433463        1.72087067943327 
