VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   0.08      0.0434848484848485    0.000137144693597094    4.01259364767161E-05    7.11651414854837E-07     8.1931285530844E-08    1.26168451535288E-06                       0                       0                       0                       0                       0                       0        5986.08681176533        1063.22660524231        3868.09979805831        1643.79934451702     0.00017932591377412        201.091388243682         22702860.893488     0.00194855040288014        1.25311581784795 
                   0.08      0.0433333333333333    0.000134939537230666    3.94252287209035E-05    7.26095137354212E-07    8.32878086525078E-08    1.28756861620055E-06                       0                       0                       0                       0                       0                       0        5971.19254058129        1057.78357519852        3909.11483174336        1676.95465925336    0.000176461742894112        200.157682543166        22661064.0212904     0.00189114403212258        1.25190709924602 
                   0.08      0.0431818181818182    0.000132868722575885     3.8765458917711E-05    7.40474805397673E-07    8.45932608055831E-08    1.31332103198744E-06                       0                       0                       0                       0                       0                       0        5955.26051105452        1052.28463977313        3949.98775113705        1710.36424969811    0.000173772597465593        199.280795681382        22613924.9448589     0.00183935369157189         1.2508112501171 
                   0.08       0.043030303030303     0.00013108438729009    3.81938211467229E-05    7.54363470696206E-07    8.57397109085533E-08    1.33808493258665E-06                       0                       0                       0                       0                       0                       0        5937.51589056199        1046.95667876878        3990.56498147864        1743.58404425148    0.000171456411538516         198.58159705782        22557358.4023709      0.0017935736743478        1.24992090689616 
                   0.08      0.0428787878787879    0.000129300052004296    3.76221833757348E-05    7.68252135994739E-07    8.68861610115235E-08    1.36284883318586E-06                       0                       0                       0                       0                       0                       0        5919.77127006947        1041.62871776443        4031.14221182023        1776.80383880486    0.000169140225611439        197.882398434258        22500791.8598828      0.0017477936571237        1.24903056367523 
                   0.08      0.0427272727272727    0.000127515716718502    3.70505456047468E-05    7.82140801293273E-07    8.80326111144937E-08    1.38761273378507E-06                       0                       0                       0                       0                       0                       0        5902.02664957694        1036.30075676008        4071.71944216181        1810.02363335823    0.000166824039684362        197.183199810697        22444225.3173947     0.00170201363989961        1.24814022045429 
                   0.08      0.0425757575757576    0.000125731381432708    3.64789078337587E-05    7.96029466591806E-07    8.91790612174639E-08    1.41237663438427E-06                       0                       0                       0                       0                       0                       0        5884.28202908441        1030.97279575573         4112.2966725034         1843.2434279116    0.000164507853757285        196.484001187135        22387658.7749067     0.00165623362267552        1.24724987723336 
                   0.08      0.0424242424242424    0.000123941122504554    3.59054007072482E-05     8.0994831866876E-07    9.03317304215949E-08    1.43720088869059E-06                       0                       0                       0                       0                       0                       0        5866.56526572805        1025.63060223847        4152.88128221636        1876.50859300341    0.000162183972813369        195.778964579921        22331247.7464748     0.00161054673730742        1.24635656573518 
                   0.08      0.0422727272727273    0.000122316076413838    3.53826317350677E-05    8.23628044423222E-07    9.13812186451836E-08    1.46152514786275E-06                       0                       0                       0                       0                       0                       0        5847.18974086612         1020.1522165933        4192.95841992548        1909.41291222763    0.000160075204007064        195.149492949192        22266024.1219141     0.00157087140690784        1.24559165469819 
                   0.08      0.0421212121212121    0.000120841119348867    3.49065807351261E-05    8.36821521239698E-07    9.23047317259941E-08    1.48486645346311E-06                       0                       0                       0                       0                       0                       0        5826.54176674545        1014.71709479231        4232.65707915886        1941.54113153757    0.000158161646231388        194.616742936155         22193932.672261     0.00153390523323428         1.2449286982636 
                   0.08       0.041969696969697    0.000119366162283896    3.44305297351845E-05    8.50014998056173E-07    9.32282448068045E-08    1.50820775906347E-06                       0                       0                       0                       0                       0                       0        5805.89379262479        1009.28197299131        4272.35573839223        1973.66935084752    0.000156248088455711        194.083992923118         22121841.222608     0.00149693905956073        1.24426574182902 
                   0.08      0.0418181818181818    0.000117891205218926    3.39544787352428E-05    8.63208474872649E-07     9.4151757887615E-08    1.53154906466383E-06                       0                       0                       0                       0                       0                       0        5785.24581850412        1003.84685119031         4312.0543976256        2005.79757015746    0.000154334530680035        193.551242910081        22049749.7729549     0.00145997288588717        1.24360278539443 
