VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
      0.702020202020202                     0.1      0.0310508991752462     0.00951466010751172    7.94447513553599E-18      8.034594312675E-23    1.97450190319194E-18    3.69216743832829E-18       1.16488517416E-32    1.08729874156358E-20    5.81165910438855E-21    2.89482630148727E-19    2.81556885261508E-26        3428.21354844017       -588.504977110234        331.431898254534        322.905869845812      0.0405655591793887        3876.18825946293        6383946.34519528        4.95423133358188        1.39612789371171 
      0.722222222222222                     0.1      0.0314891039647641     0.00964893587222773    8.30857232317775E-18    8.08777525128496E-23    2.07101360464684E-18    3.87268942352811E-18    1.17347989082754E-32    1.13681851154816E-20    2.32466333718948E-21    2.91148486322279E-19     2.8895098047836E-26        3427.54978466705       -582.007281372464        335.114673277871         322.92015320689      0.0411380427962495        3975.45093128116        6381579.60828442        4.57087742690895        1.39612683642291 
      0.742424242424242                     0.1      0.0320200198976005     0.00981161922339642    8.71561812234503E-18    8.21594006874859E-23    2.17728597952242E-18    4.07145720763366E-18    1.19257582471838E-32    1.19417047961789E-20    4.41948664946327E-31    2.95297872099885E-19    2.96331281971275E-26        3426.75539692542       -574.111338935477        339.706185800492        322.940965999374      0.0418316418325695         4099.2311867465        6378932.47358837        4.15090629651376        1.39612567034286 
      0.762626262626263                     0.1      0.0326500141749203      0.0100046621457237    9.15577489937316E-18    8.24464085806281E-23    2.29354342320762E-18    4.28891078609399E-18    1.19656475037963E-32    1.25736869946977E-20    6.47539689687599E-31    2.95576195179974E-19    3.03014088302275E-26        3425.82569536586       -564.747563772245        345.272185249094        322.970213800738      0.0426546758866956        4250.23853804774        6376051.78144145        3.70600754436772        1.39612405644377 
      0.782828282828283                     0.1       0.033347144101961      0.0102182790268451    9.60804279884302E-18    8.06572636489793E-23     2.4163391668919E-18    4.51861390670429E-18    1.17069864463092E-32    1.32175721305418E-20    1.62241980813531E-30    2.88363291829864E-19    3.08255718896631E-26        3424.79872841429       -554.346455313039        351.531411413775        323.004675590956      0.0435654222803765         4419.2739257669        6372979.13089044        3.24088336064415        1.39612144943165 
      0.803030303030303                     0.1      0.0341884707196979      0.0104760808032081    1.01338504012717E-17    8.34058987619074E-23    2.55315165015569E-18    4.77448965260287E-18    1.20018998261282E-32    1.40352017422464E-20    7.07850733105907E-26    2.94707714557384E-19    3.12394112729507E-26        3423.58657390386       -541.878189947728        359.222016420171        323.055355466441      0.0446645415275393        4630.55996131757        6369746.43438112        2.78015128680791        1.39611785148348 
      0.823232323232323                     0.1       0.035179566016321      0.0107797753841702    1.06917079988785E-17    8.29144574575585E-23    2.70425121640619E-18    5.05714335778575E-18    1.18488737768449E-32    1.49454684052404E-20    8.68842002249604E-26    2.89720702272595E-19    3.16989859571119E-26        3422.20434807705        -527.43006374137        368.298621183801        323.127400693782      0.0459593371583669        4888.30855799472        6366533.51029109        2.35013427766271        1.39611319323835 
      0.843434343434343                     0.1      0.0362884718094943        0.01111956757432    1.12869172966596E-17    8.13964951764293E-23    2.86734037800657E-18    5.36224872821003E-18    1.15350430067087E-32    1.59819289858049E-20    5.25568758497247E-26    2.80449534954944E-19    3.22488166069746E-26        3420.69698217035       -511.517638714393        378.403549128459        323.220271851767      0.0474080389493612        5184.18455554967        6363420.69878404        1.95374325475319        1.39610692933983 
      0.863636363636364                     0.1      0.0375159948303241       0.011495703824659    1.19328359809795E-17    8.13171384435034E-23    3.04253485299323E-18    5.68999423099009E-18    1.13391798264395E-32    1.72018022975711E-20    1.43913087327659E-30    2.73773950177285E-19    3.29512203067722E-26        3419.07089365712       -494.211710197317        389.485415337417        323.337484177772      0.0490116967099466        5519.67919974809        6360468.63530923        1.59547523494335        1.39609883990802 
      0.883838383838384                     0.1       0.038826414202845      0.0118972408694139    1.26324861602893E-17     8.5200114070924E-23    3.22599856794279E-18    6.03316131046129E-18    1.16421030911649E-32    1.85877809693468E-20    5.86885719946156E-31    2.79277411911303E-19    3.38249304234183E-26        3417.35456041189       -475.873944040086         401.30777930671        323.470819030276      0.0507236550722594        5882.47005644417        6357614.55716239        1.26892867496686        1.39609011280909 
      0.904040404040404                     0.1      0.0402841769532495      0.0123439377443191    1.33604662695539E-17    8.68296311248425E-23    3.42334793360958E-18    6.40235603819699E-18    1.14450631685349E-32    2.01891210748911E-20    7.63438759354582E-31    2.72486653570765E-19    3.50066089144877E-26        3415.53158018786       -456.100034566582        414.120054097926        323.643878336441      0.0526281140768547        6297.74833280332        6355198.32653658        1.00485647942881        1.39607815375011 
      0.924242424242424                     0.1      0.0418767846063826      0.0128319459299557    1.41227185932867E-17    8.73968399238493E-23    3.63482592049086E-18    6.79802405121391E-18    1.08367784318213E-32    2.20952430974731E-20    1.89914763134134E-28    2.55890760210004E-19    3.64357183779883E-26        3413.64006676178        -435.26793569485         427.61772079004        323.863481316714      0.0547087296879114        6763.97720736172        6353308.53439514       0.794346514108098        1.39606287150116 
      0.944444444444444                     0.1      0.0435574294141917      0.0133469301819863    1.49245551244419E-17    8.96967574716298E-23    3.85730125192962E-18    7.21426869403101E-18    1.02028486392414E-32    2.43339075646599E-20    3.16053023264011E-28    2.38708179341358E-19    3.80369667778792E-26        3411.71863285753       -413.890360517479        441.452714705039         324.12274239238      0.0569043594099119         7265.5749278884          6351850.751645       0.621635473062664        1.39604498229933 
      0.964646464646465                     0.1      0.0453155939534556      0.0138856691366223     1.5778039694352E-17    9.64069844742426E-23    4.09154504719404E-18    7.65251579286869E-18     9.7637977806615E-33    2.69863419979586E-20    2.52699535562555E-28    2.26038613714379E-19    3.97700466496937E-26        3409.78205743937       -392.152891019126        455.494742866534         324.42432392828      0.0592012640224063        7799.84231021172        6350832.24945382       0.482388670223763        1.39602427151085 
      0.984848484848485                     0.1      0.0471267752597498      0.0144406504244707    1.66782901374874E-17    1.07005694902674E-22    4.33627526587265E-18    8.11036851806927E-18    9.54004619109753E-33    2.99299708010111E-20    1.86586694235695E-31    2.18225200945096E-19    4.15752716738592E-26          3407.833639639       -370.174373146203        469.685560721954        324.754770879862      0.0615674242994775        8356.86860519855        6350143.57098442        0.36893793287314        1.39600160435666 
       1.00505050505051                     0.1      0.0490090951832982      0.0150174321109861    1.76586201820252E-17    1.25866270118587E-22    4.59844503542231E-18    8.60082447689425E-18      9.694577612039E-33    3.36089255709077E-20    3.74562715257501E-32    2.18561304189938E-19    4.34704135168919E-26        3405.92033751801       -348.283507371606        483.720432450895        325.146314649417      0.0640265280203782         8947.8849827379        6350036.52053828       0.288009664545772        1.39597479388769 
       1.02525252525253                     0.1      0.0509373072271577      0.0156082802553221    1.86688288651274E-17    1.46660780748633E-22      4.872273808035E-18    9.11312852405265E-18    2.15113628847307E-30    3.80594261506279E-20     1.6929365478363E-28    2.11346054998914E-19    4.54448020404132E-26        3404.07010131076       -326.794085135532        497.366093685747        325.601412403854      0.0665455876282991        9564.19639321044         6350431.7326274       0.228231640038073        1.39594320822788 
       1.04545454545455                     0.1      0.0528787707603753      0.0162031858956412    1.96977486046252E-17    1.68623275771864E-22    5.15361791172287E-18     9.6395158352612E-18    8.21239553767618E-30    4.31761237189332E-20    2.82280308464483E-28    1.99187247486982E-19    4.74603956440108E-26        3402.28620816638       -305.832869940526        510.580639965776         326.10525264891      0.0690819551459267        10192.4195355572        6351176.23393893       0.181703767597067        1.39590795606699 
       1.06565656565657                     0.1      0.0548213764875228      0.0167984389767428    2.07498611841353E-17    1.93102715634585E-22    5.44138464110506E-18    1.01779273243478E-17    1.00811126697252E-29    4.89941965333562E-20     5.1991627384406E-27    1.86436007971902E-19    4.95066395873565E-26        3400.57627830437       -285.511136508149        523.304668562846        326.657831468938      0.0716198121953999        10828.2822454506        6352239.02613544        0.14578701115072        1.39586907983075 
