VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25      0.0388888888888889      0.0400453832242345       0.012269224836939    9.61680869064911E-17    3.46077769703335E-21    2.52855569790275E-17    4.73916968605101E-17    5.39231382427499E-21    8.04294425192495E-18    1.16233796010882E-20    7.59481688560262E-19    1.30640480290934E-25        2913.58361859386        4.13051764743204        620.602421082455         364.45728413655      0.0523146086447857        9358.15390994532        4870919.23536194      0.0549369836137762        1.39267934206602 
                   2.25      0.0424242424242424      0.0400820727020017      0.0122804667482754    9.58250130392992E-17    3.50807545936609E-21     2.5138870260456E-17    4.71900504788536E-17    1.16368147368367E-20     7.9132920069277E-18    1.16233796010882E-20    7.75528256484731E-19    1.12874530193796E-25        2914.02614137921        4.14655079892156        620.056825722902        362.655375797917      0.0523625399749728        9358.49556166205        4871646.07811111      0.0551847533242857         1.3928566625254 
                   2.25       0.045959595959596       0.040106960591174      0.0122880920001252     9.5205883682139E-17    3.51838147433149E-21    2.49413508036347E-17     4.6856652484463E-17    1.22121670592875E-20    7.72759039426106E-18    1.16233796010882E-20    7.81662892258974E-19    1.04466072193915E-25        2914.32263383725         4.1612487534442        619.695099903486        361.183984564742      0.0523950513440693         9358.8443616054        4872136.66000486      0.0553491612944261        1.39299959848858 
                   2.25      0.0494949494949495      0.0401232039812179      0.0122930687659555    9.42377095787208E-17    3.51664672371369E-21    2.46802299313681E-17    4.63618537505969E-17    1.22121820372759E-20    7.58154832586924E-18    1.16233796010882E-20    7.83724515306432E-19     1.0132789839637E-25        2914.51239809933        4.17499224735528         619.46794411457        359.948728767602      0.0524162708092057        9359.20216139727        4872452.61315548        0.05545196518229        1.39311754334896 
                   2.25       0.053030303030303       0.040134126049842      0.0122964108369027    9.29226991051198E-17    3.51305440238903E-21    2.43549669219536E-17    4.57082010896344E-17    1.27873099445681E-20    7.45751126054452E-18    1.16233796010882E-20    7.84487247963516E-19     1.0085600579454E-25         2914.6349922552        4.18807348382197        619.323555116266        358.855238960959      0.0524305376595447        9359.56745219213        4872657.25309812       0.055516619074321        1.39322169798261 
                   2.25      0.0565656565656566      0.0401427093280908      0.0122990385375179     9.1458862911382E-17    3.50942509804943E-21    2.39986209355507E-17    4.49857924216062E-17    9.74109222219298E-21    7.32141943985254E-18    1.16233796010882E-20    7.84850052278665E-19    1.01545633758374E-25        2914.72755699869        4.20089839331072        619.215588780609        357.822668855142       0.052441750089561        9359.93750481006        4872811.64826397      0.0555644414023955        1.39331930237898 
                   2.25      0.0601010101010101      0.0401488412083329      0.0123009209636822    8.98428089378434E-17    3.50639355905303E-21    2.36074876837904E-17    4.41924085107474E-17    2.68295104344712E-21    7.15125972589994E-18    1.16233796010882E-20    7.84932794999074E-19     1.0337950006739E-25        2914.78818418111        4.21350367532277        619.145882344093        356.851763069122      0.0524497638305046         9360.3146088494        4872912.43702658      0.0555945443880625        1.39340977645116 
                   2.25      0.0636363636363636       0.040153604695886      0.0123023810284374    8.82831812632344E-17    3.50410268723266E-21    2.32157392371664E-17    4.34230085027951E-17    2.77602369463034E-26    6.98691812706982E-18    1.16233796010882E-20    7.84944711255036E-19    1.05062248095304E-25        2914.82980910544        4.22598883253162        619.097755616325        355.913999661227      0.0524559878198058        9360.69777427966        4872980.03338601      0.0556146021339079        1.39349658833965 
                   2.25      0.0671717171717172      0.0401577504560861      0.0123036509156007    8.67463608167532E-17    3.50215743051101E-21     2.2823439653795E-17    4.26631451382007E-17    2.10770907619153E-27    6.82535641242797E-18    1.16233796010882E-20    7.84926263468037E-19    1.06651752510969E-25        2914.86285377578        4.23846398958414        619.059461021325        354.990212023165      0.0524614036470544        9361.08493793169        4873032.84128504      0.0556300784437279        1.39358178574537 
                   2.25      0.0707070707070707      0.0401609958864209      0.0123046459634827    8.53890211729342E-17    3.50087757780728E-21    2.24626345551828E-17    4.19850015372481E-17    1.43270445354513E-28    6.69503746987821E-18    1.16233796010882E-20    7.84888562521663E-19    1.07328903452645E-25        2914.88320978937        4.25145917587061        619.036584179021        354.083659472677      0.0524656384163855        9361.49505751499        4873063.07020703      0.0556382679583827        1.39366416431369 
                   2.25      0.0742424242424242      0.0401641100642002      0.0123056009913618    8.40567463180024E-17    3.49969860464702E-21    2.21061300339379E-17    4.13182350163168E-17     1.8740919298919E-28    6.56813738695982E-18    1.16233796010882E-20    7.84848354867396E-19    1.07884941269567E-25        2914.90168934007        4.26454795691824        619.016003805089        353.179046567254      0.0524697010259865        9361.90927352599        4873089.98135684      0.0556453670470426        1.39374616945971 
                   2.25      0.0777777777777778      0.0401667395051202      0.0123064077069725    8.28600773115648E-17    3.49906435756079E-21    2.17813895819949E-17     4.0713791325352E-17    5.28863100053178E-25     6.4016817558808E-18    1.16233796010882E-20     7.8481835438136E-19    1.08134808873863E-25        2914.91356024221        4.27956676312634        619.005711063103        352.279089161235      0.0524731398499987        9362.36619621173        4873108.90883364      0.0556474516905361        1.39382684455539 
                   2.25      0.0813131313131313      0.0401692893586824       0.012307190086482    8.16848130520269E-17    3.49852470590713E-21    2.14615366206395E-17    4.01192058056408E-17      1.223483443027E-24    6.22850656009552E-18    1.16233796010882E-20    7.84790431268128E-19    1.08359258779963E-25        2914.92432010153        4.29491504540818        618.997174542054        351.379076335859      0.0524764771090631        9362.83128564151        4873126.44784352      0.0556486746820607        1.39390731404705 
                   2.25      0.0848484848484848      0.0401715228689205      0.0123078742302523    8.05698831901881E-17    3.49829474938552E-21    2.11565842869252E-17    3.95520962383904E-17    6.08866306676926E-22    6.02390167164675E-18    1.16233796010882E-20    7.84788669343951E-19    1.08435419717033E-25        2914.93292549323        4.31022616220537        618.992569368776        350.477370803949      0.0524793967853113        9363.28247622915        4873142.11837812      0.0556481257541682        1.39398681289544 
                   2.25      0.0883838383838384      0.0401735570909182      0.0123084968507334    7.94895800780842E-17    3.49826105869093E-21    2.08600729795008E-17    3.90007931715541E-17    6.58936405108526E-22    5.80387676320882E-18    1.16233796010882E-20    7.84803163245109E-19    1.08458410342033E-25        2914.94027668041        4.32549256477571        618.990483221064        349.573112693547      0.0524820540067435        9363.72553426707        4873156.76671131      0.0556464371376962        1.39406578072644 
                   2.25      0.0919191919191919      0.0401754317308245      0.0123090705727962    7.84165491527698E-17    3.49826399586943E-21    2.05654489018062E-17    3.84528000942995E-17    1.68281864988413E-21    5.58148621210258E-18    1.16233796010882E-20    7.84833009944854E-19    1.08370742836264E-25        2914.94745332842        4.33879002299296        618.987757779709         348.66696215442      0.0524845035546024        9364.12168454864        4873170.33733501      0.0556453319337367        1.39414473991903 
                   2.25      0.0954545454545454      0.0401764765369034      0.0123093891881808    7.73802257062357E-17    3.49851290152407E-21    2.02801177077325E-17    3.79214906808832E-17    1.90307557174162E-21    5.36108928315295E-18    1.16233796010882E-20    7.84941765808997E-19    1.07825332028273E-25        2914.95367378258        4.34277166576281        618.982905102367        347.746787215966      0.0524858699056316         9364.2918517839        4873179.20356844      0.0556465808984625        1.39422385456637 
                   2.25       0.098989898989899      0.0401775147510037      0.0123097056583309    7.63441289838409E-17    3.49876509111921E-21    1.99948380969336E-17    3.73902804971326E-17     1.9478565341035E-21    5.14119198515949E-18    1.16233796010882E-20    7.85051282709406E-19    1.07278882564111E-25        2914.95987561554        4.34669556098193        618.978051493964        346.826365546573      0.0524872276757231        9364.46046973507        4873188.03929289      0.0556478399216382        1.39430298376152 
                   2.25       0.102525252525253      0.0401776299455234       0.012309740798537    7.53101581469351E-17    3.49910547479555E-21    1.97102797048407E-17    3.68601148229274E-17    1.95230292479989E-21     4.9158422538473E-18    1.16233796010882E-20    7.85269028263574E-19    1.06390400782613E-25        2914.96679752135        4.33717866124754        618.965144494005        345.898850247003      0.0524873769324037        9364.29199610425        4873190.10208756      0.0556548451235325        1.39438182628274 
